,Learner,Mean,Bias,Variance,Mean_SD_Err,RMSE,CI_Width,Coverage,Sparsity
13,KRR_RBF,1.4418,0.4418,0.0768,0.2739,0.5214,1.0736,0.612,0.6
14,SVR_RBF,1.4384,0.4384,0.0788,0.2746,0.5204,1.0765,0.614,0.6
15,NeuralNet,1.3809,0.3809,0.0876,0.2795,0.4822,1.0956,0.698,0.6
0,OLS_sklearn,1.4513,0.4513,0.0844,0.2713,0.5366,1.0633,0.614,0.7
1,OLS_Strict,1.527,0.527,0.0732,0.2577,0.5923,1.0102,0.486,0.7
2,OLS_Safe,1.527,0.527,0.0732,0.2577,0.5923,1.0102,0.486,0.7
3,Lasso,1.4953,0.4953,0.0835,0.2759,0.5733,1.0814,0.568,0.7
4,Ridge,1.4823,0.4823,0.0823,0.273,0.561,1.0703,0.584,0.7
5,ElasticNet,1.4887,0.4887,0.082,0.2736,0.5662,1.0724,0.566,0.7
6,FusedLasso,1.459,0.459,0.087,0.2723,0.5455,1.0672,0.6,0.7
7,RF,1.6022,0.6022,0.0784,0.2882,0.664,1.1296,0.462,0.7
8,ExtraTrees,1.6018,0.6018,0.0791,0.2885,0.6642,1.1309,0.464,0.7
9,HonestForest,2.0119,1.0119,0.088,0.3695,1.0545,1.4484,0.172,0.7
10,GB,1.4452,0.4452,0.0893,0.2769,0.536,1.0854,0.63,0.7
11,CatBoost,1.4647,0.4647,0.0863,0.2767,0.5496,1.0847,0.608,0.7
12,XGBoost,1.4562,0.4562,0.0861,0.2747,0.5422,1.0769,0.608,0.7
13,KRR_RBF,1.4963,0.4963,0.0814,0.274,0.5723,1.0742,0.55,0.7
14,SVR_RBF,1.4832,0.4832,0.0842,0.2744,0.5635,1.0757,0.58,0.7
15,NeuralNet,1.4685,0.4685,0.09,0.2807,0.5562,1.1005,0.614,0.7
0,OLS_sklearn,1.4319,0.4319,0.089,0.2681,0.5247,1.051,0.636,0.8
1,OLS_Strict,1.5119,0.5119,0.0761,0.2547,0.5814,0.9984,0.502,0.8
2,OLS_Safe,1.5119,0.5119,0.0761,0.2547,0.5814,0.9984,0.502,0.8
3,Lasso,1.4292,0.4292,0.0907,0.2701,0.5241,1.059,0.648,0.8
4,Ridge,1.4625,0.4625,0.0864,0.2698,0.5479,1.0576,0.6,0.8
5,ElasticNet,1.4487,0.4487,0.0876,0.269,0.5374,1.0547,0.618,0.8
6,FusedLasso,1.4418,0.4418,0.0865,0.2702,0.5306,1.0593,0.626,0.8
7,RF,1.5825,0.5825,0.0808,0.2845,0.648,1.1151,0.494,0.8
8,ExtraTrees,1.5836,0.5836,0.0813,0.2847,0.6494,1.1159,0.48,0.8
9,HonestForest,1.9837,0.9837,0.0861,0.3645,1.0264,1.429,0.186,0.8
10,GB,1.4187,0.4187,0.0941,0.2728,0.5189,1.0695,0.66,0.8
11,CatBoost,1.4457,0.4457,0.0904,0.2733,0.5375,1.0712,0.634,0.8
12,XGBoost,1.4265,0.4265,0.0915,0.2707,0.5227,1.0612,0.656,0.8
13,KRR_RBF,1.4764,0.4764,0.0854,0.2707,0.5587,1.0613,0.592,0.8
14,SVR_RBF,1.4796,0.4796,0.0853,0.2725,0.5615,1.0683,0.584,0.8
15,NeuralNet,1.4746,0.4746,0.0929,0.2812,0.5639,1.1022,0.608,0.8
0,OLS_sklearn,1.4066,0.4066,0.0832,0.2798,0.4984,1.0969,0.686,0.9
1,OLS_Strict,1.4987,0.4987,0.0803,0.2715,0.5735,1.0644,0.512,0.9
2,OLS_Safe,1.4987,0.4987,0.0803,0.2715,0.5735,1.0644,0.512,0.9
3,Lasso,1.4306,0.4306,0.0831,0.2814,0.518,1.103,0.662,0.9
4,Ridge,1.436,0.436,0.0814,0.2819,0.5209,1.105,0.658,0.9
5,ElasticNet,1.4422,0.4422,0.0812,0.2824,0.5259,1.107,0.652,0.9
6,FusedLasso,1.4107,0.4107,0.0818,0.2789,0.5003,1.0932,0.666,0.9
7,RF,1.5533,0.5533,0.078,0.2973,0.6197,1.1653,0.538,0.9
8,ExtraTrees,1.5526,0.5526,0.0786,0.2973,0.6196,1.1654,0.534,0.9
9,HonestForest,1.9406,0.9406,0.0945,0.3884,0.9894,1.5227,0.308,0.9
10,GB,1.4124,0.4124,0.086,0.2833,0.5059,1.1105,0.682,0.9
11,CatBoost,1.4234,0.4234,0.0844,0.2833,0.5134,1.1104,0.672,0.9
12,XGBoost,1.4286,0.4286,0.0815,0.2784,0.5148,1.0913,0.652,0.9
13,KRR_RBF,1.4494,0.4494,0.0806,0.283,0.5314,1.1094,0.64,0.9
14,SVR_RBF,1.463,0.463,0.0806,0.2855,0.5429,1.1192,0.626,0.9
15,NeuralNet,1.4461,0.4461,0.0871,0.293,0.5347,1.1487,0.654,0.9
