,Learner,Mean,Bias,Variance,Mean_SD_Err,RMSE,CI_Width,Coverage,Dimensionality
7,RF,1.36,0.36,0.0621,0.2488,0.4377,0.9752,0.68,0.35
8,ExtraTrees,1.3659,0.3659,0.0629,0.2493,0.4435,0.9773,0.668,0.35
9,HonestForest,1.6873,0.6873,0.0628,0.3215,0.7315,1.2601,0.452,0.35
10,GB,1.2897,0.2897,0.0666,0.2366,0.3878,0.9276,0.738,0.35
11,CatBoost,1.2749,0.2749,0.0685,0.2413,0.3794,0.9459,0.754,0.35
12,XGBoost,1.2647,0.2647,0.0685,0.2376,0.372,0.9312,0.768,0.35
13,KRR_RBF,1.3309,0.3309,0.0632,0.2394,0.4154,0.9385,0.688,0.35
14,SVR_RBF,1.3381,0.3381,0.0629,0.2451,0.4208,0.9609,0.698,0.35
15,NeuralNet,1.2767,0.2767,0.0711,0.2469,0.3841,0.9677,0.758,0.35
0,OLS_sklearn,1.2658,0.2658,0.0596,0.2427,0.3608,0.9513,0.802,0.4
1,OLS_Strict,1.3472,0.3472,0.0606,0.2405,0.4255,0.9429,0.688,0.4
2,OLS_Safe,1.3472,0.3472,0.0606,0.2405,0.4255,0.9429,0.688,0.4
3,Lasso,1.2876,0.2876,0.0595,0.2444,0.3769,0.9582,0.776,0.4
4,Ridge,1.336,0.336,0.0557,0.2479,0.4105,0.9717,0.736,0.4
5,ElasticNet,1.3218,0.3218,0.0564,0.2465,0.3998,0.9662,0.74,0.4
6,FusedLasso,1.2904,0.2904,0.0578,0.2429,0.3768,0.952,0.76,0.4
7,RF,1.3732,0.3732,0.0547,0.2543,0.4403,0.9968,0.704,0.4
8,ExtraTrees,1.3714,0.3714,0.0549,0.2549,0.4389,0.9992,0.712,0.4
9,HonestForest,1.6636,0.6636,0.0648,0.3226,0.7106,1.2645,0.46,0.4
10,GB,1.2956,0.2956,0.0597,0.2474,0.3834,0.97,0.768,0.4
11,CatBoost,1.2981,0.2981,0.0592,0.2472,0.3846,0.9691,0.762,0.4
12,XGBoost,1.2851,0.2851,0.0582,0.2423,0.3732,0.9496,0.778,0.4
13,KRR_RBF,1.3434,0.3434,0.0552,0.2454,0.4159,0.9619,0.708,0.4
14,SVR_RBF,1.3697,0.3697,0.055,0.253,0.4377,0.9917,0.698,0.4
15,NeuralNet,1.2878,0.2878,0.0615,0.251,0.3797,0.9838,0.782,0.4
0,OLS_sklearn,1.339,0.339,0.0598,0.2489,0.4179,0.9758,0.71,0.45
